소속,종목코드,종목명,현재가,시가총액(억),PER,ROE,PER순위,ROE순위,순위합산,종합순위,종목그래프
KOSDAQ,'026910,광진실업,3490,224,41.06,1.89,1118,1217,2335,1200,https://finance.naver.com/item/main.nhn?code=026910
KOSDAQ,'123410,코리아에프티,2775,773,38.54,1.71,1100,1237,2337,1201,https://finance.naver.com/item/main.nhn?code=123410
KOSPI,'008770,호텔신라,83800,32890,132.59,3.81,1300,1038,2338,1202,https://finance.naver.com/item/main.nhn?code=008770
KOSDAQ,'014190,원익큐브,2615,926,48.43,2.25,1159,1180,2339,1203,https://finance.naver.com/item/main.nhn?code=014190
KOSDAQ,'038060,루멘스,2475,1170,37.5,1.47,1089,1258,2347,1204,https://finance.naver.com/item/main.nhn?code=038060
KOSPI,'002870,신풍제지,1275,446,49.04,2.16,1162,1188,2350,1205,https://finance.naver.com/item/main.nhn?code=002870
KOSPI,'035720,카카오,112000,93393,69.91,2.91,1225,1128,2353,1206,https://finance.naver.com/item/main.nhn?code=035720
KOSPI,'007610,선도전기,4150,747,45.11,1.94,1142,1211,2353,1207,https://finance.naver.com/item/main.nhn?code=007610
KOSDAQ,'021650,한국큐빅,2065,338,36.88,1.41,1085,1269,2354,1208,https://finance.naver.com/item/main.nhn?code=021650
KOSPI,'001740,SK네트웍스,4985,12372,36.93,1.39,1086,1270,2356,1209,https://finance.naver.com/item/main.nhn?code=001740
KOSPI,'007570,일양약품,30100,5733,93.77,3.28,1269,1094,2363,1210,https://finance.naver.com/item/main.nhn?code=007570
KOSDAQ,'034940,조아제약,4860,1376,85.26,3.18,1261,1102,2363,1211,https://finance.naver.com/item/main.nhn?code=034940
KOSDAQ,'054630,에이디칩스,1700,420,54.84,2.3,1186,1177,2363,1212,https://finance.naver.com/item/main.nhn?code=054630
KOSPI,'002690,동일제강,3050,458,33.52,1.05,1059,1304,2363,1213,https://finance.naver.com/item/main.nhn?code=002690
KOSDAQ,'051980,중앙리빙테크,1120,253,65.88,2.66,1212,1153,2365,1214,https://finance.naver.com/item/main.nhn?code=051980
KOSDAQ,'094940,푸른기술,23700,1558,182.31,3.7,1315,1053,2368,1215,https://finance.naver.com/item/main.nhn?code=094940
KOSPI,'017900,광전자,1960,1136,39.2,1.42,1106,1266,2372,1216,https://finance.naver.com/item/main.nhn?code=017900
KOSPI,'204210,모두투어리츠,3080,241,40.0,1.43,1111,1262,2373,1217,https://finance.naver.com/item/main.nhn?code=204210
KOSPI,'001390,KG케미칼,17500,2180,48.34,1.88,1157,1219,2376,1218,https://finance.naver.com/item/main.nhn?code=001390
KOSPI,'000180,성창기업지주,2110,1472,35.17,0.83,1070,1314,2384,1219,https://finance.naver.com/item/main.nhn?code=000180
KOSDAQ,'106190,하이텍팜,16350,1159,55.24,2.07,1189,1196,2385,1220,https://finance.naver.com/item/main.nhn?code=106190
KOSPI,'005090,삼광글라스,29050,1410,39.05,1.21,1104,1282,2386,1221,https://finance.naver.com/item/main.nhn?code=005090
KOSDAQ,'079950,인베니아,3425,795,71.35,2.6,1230,1158,2388,1222,https://finance.naver.com/item/main.nhn?code=079950
KOSDAQ,'049480,오픈베이스,2180,685,55.9,2.04,1192,1200,2392,1223,https://finance.naver.com/item/main.nhn?code=049480
KOSDAQ,'085810,알티캐스트,3230,686,45.49,1.6,1145,1247,2392,1224,https://finance.naver.com/item/main.nhn?code=085810
KOSDAQ,'018000,유니슨,1860,1741,132.86,3.29,1301,1093,2394,1225,https://finance.naver.com/item/main.nhn?code=018000
KOSDAQ,'002680,한탑,2310,480,53.72,1.89,1182,1218,2400,1226,https://finance.naver.com/item/main.nhn?code=002680
KOSDAQ,'052670,제일바이오,4040,606,76.23,2.44,1244,1165,2409,1227,https://finance.naver.com/item/main.nhn?code=052670
KOSPI,'002070,남영비비안,6040,415,38.47,0.82,1099,1315,2414,1228,https://finance.naver.com/item/main.nhn?code=002070
KOSDAQ,'036710,심텍홀딩스,1825,637,43.45,1.25,1136,1281,2417,1229,https://finance.naver.com/item/main.nhn?code=036710
KOSPI,'002760,보락,2325,1393,110.71,2.88,1288,1133,2421,1230,https://finance.naver.com/item/main.nhn?code=002760
KOSDAQ,'001000,신라섬유,2335,567,137.35,2.94,1303,1123,2426,1231,https://finance.naver.com/item/main.nhn?code=001000
KOSDAQ,'053290,NE능률,2785,376,45.66,1.3,1148,1278,2426,1232,https://finance.naver.com/item/main.nhn?code=053290
KOSDAQ,'033170,시그네틱스,781,670,41.11,0.98,1119,1307,2426,1233,https://finance.naver.com/item/main.nhn?code=033170
KOSPI,'005950,이수화학,10350,1581,45.59,1.21,1146,1283,2429,1234,https://finance.naver.com/item/main.nhn?code=005950
KOSDAQ,'196490,디에이테크놀로지,4250,2212,121.43,2.87,1296,1134,2430,1235,https://finance.naver.com/item/main.nhn?code=196490
KOSDAQ,'096530,씨젠,18250,4788,120.07,2.84,1295,1135,2430,1236,https://finance.naver.com/item/main.nhn?code=096530
KOSDAQ,'127120,디엔에이링크,4540,487,98.7,2.65,1275,1155,2430,1237,https://finance.naver.com/item/main.nhn?code=127120
KOSDAQ,'032580,피델릭스,1720,369,71.67,2.03,1231,1201,2432,1238,https://finance.naver.com/item/main.nhn?code=032580
KOSDAQ,'066310,큐에스아이,4730,392,51.98,1.43,1169,1263,2432,1239,https://finance.naver.com/item/main.nhn?code=066310
KOSPI,'012610,경인양행,5700,2303,64.04,1.85,1210,1223,2433,1240,https://finance.naver.com/item/main.nhn?code=012610
KOSDAQ,'014470,부방,2065,977,48.02,1.29,1155,1279,2434,1241,https://finance.naver.com/item/main.nhn?code=014470
KOSDAQ,'036030,KTH,4910,1754,54.56,1.58,1185,1250,2435,1242,https://finance.naver.com/item/main.nhn?code=036030
KOSDAQ,'018680,서울제약,7300,619,65.77,1.84,1211,1225,2436,1243,https://finance.naver.com/item/main.nhn?code=018680
KOSDAQ,'043360,디지아이,2715,244,45.25,1.11,1143,1296,2439,1244,https://finance.naver.com/item/main.nhn?code=043360
KOSDAQ,'058820,CMG제약,4820,5248,185.38,2.94,1316,1124,2440,1245,https://finance.naver.com/item/main.nhn?code=058820
KOSDAQ,'052420,오성첨단소재,2190,1089,66.36,1.79,1216,1229,2445,1246,https://finance.naver.com/item/main.nhn?code=052420
KOSDAQ,'175250,아이큐어,38350,2348,348.64,3.13,1339,1108,2447,1247,https://finance.naver.com/item/main.nhn?code=175250
KOSPI,'001550,조비,24400,1267,106.09,2.5,1284,1164,2448,1248,https://finance.naver.com/item/main.nhn?code=001550
KOSDAQ,'041910,에스텍파마,9180,1092,71.16,1.88,1229,1220,2449,1249,https://finance.naver.com/item/main.nhn?code=041910
KOSPI,'044820,코스맥스비티아이,21200,2036,53.0,1.33,1176,1276,2452,1250,https://finance.naver.com/item/main.nhn?code=044820
KOSPI,'088260,이리츠코크렙,4775,3025,62.01,1.57,1203,1251,2454,1251,https://finance.naver.com/item/main.nhn?code=088260
KOSPI,'024900,덕양산업,1220,397,53.04,1.31,1177,1277,2454,1252,https://finance.naver.com/item/main.nhn?code=024900
KOSPI,'016610,DB금융투자,4500,1910,43.27,0.73,1134,1320,2454,1253,https://finance.naver.com/item/main.nhn?code=016610
KOSDAQ,'043260,성호전자,894,276,52.59,1.21,1173,1284,2457,1254,https://finance.naver.com/item/main.nhn?code=043260
KOSDAQ,'027050,코리아나,4730,1892,105.11,2.28,1283,1178,2461,1255,https://finance.naver.com/item/main.nhn?code=027050
KOSDAQ,'200470,하이셈,4710,827,96.12,2.13,1271,1190,2461,1256,https://finance.naver.com/item/main.nhn?code=200470
